PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
57.4,2,1535.4,32.0,67,18.4,18.3,31.7,23.133333333333336,40.666666666666664,1197.1666666666667,25.95,43.75,1348.4833333333333,46.71666666666667,72.625,2042.7583333333332
64.9,2,1842.5,30.0,66,32.7,18.4,18.3,29.833333333333332,51.96666666666667,1464.2,28.0,46.85,1417.4666666666665,40.31666666666667,64.39166666666667,1871.4166666666667
57.9,2,1655.6,32.0,67,38.4,32.7,18.4,34.699999999999996,60.06666666666667,1677.8333333333333,28.75,49.46666666666667,1450.8500000000001,30.5,51.525,1533.1833333333334
67.2,2,2269.8,27.0,94,33.0,38.4,32.7,37.1,63.333333333333336,1922.6333333333332,30.11666666666667,52.0,1559.8999999999999,31.058333333333334,52.84166666666667,1587.7083333333333
57.0,2,1735.7,27.0,89,39.9,33.0,38.4,35.36666666666667,60.699999999999996,1887.0333333333335,32.6,56.333333333333336,1675.6166666666668,32.59166666666667,55.25833333333333,1658.9166666666667
58.3,2,1842.5,30.0,75,33.2,39.9,33.0,36.13333333333333,60.833333333333336,1949.3333333333333,35.416666666666664,60.449999999999996,1813.5833333333333,30.116666666666664,51.224999999999994,1569.9083333333335
58.8,2,1735.7,30.0,70,35.3,33.2,39.9,34.03333333333333,58.03333333333333,1771.3,35.56666666666667,60.68333333333334,1846.9666666666665,30.758333333333336,52.21666666666667,1597.7250000000001
68.6,2,1522.1,31.0,63,33.6,35.3,33.2,34.03333333333334,61.9,1700.1000000000001,34.699999999999996,61.300000000000004,1793.5666666666666,31.349999999999998,54.07500000000001,1605.5166666666667
79.9,2,1735.7,32.0,67,33.2,33.6,35.3,34.16666666666667,69.10000000000001,1664.5,35.15,64.96666666666665,1806.9166666666667,31.95,57.21666666666667,1628.8833333333334
70.6,2,2029.4,32.0,56,35.7,33.2,33.6,36.36666666666667,73.03333333333332,1762.3999999999999,35.199999999999996,65.53333333333333,1766.8500000000001,32.65833333333334,58.76666666666667,1663.3750000000002
52.8,2,1161.6,31.0,71,40.2,35.7,33.2,32.2,67.76666666666667,1642.2333333333333,33.11666666666667,64.83333333333333,1671.1666666666667,32.858333333333334,60.583333333333336,1673.3916666666667
49.2,2,1108.2,31.2,66,20.7,40.2,35.7,26.733333333333334,57.53333333333333,1433.0666666666668,30.45,63.31666666666666,1548.7833333333335,32.93333333333334,61.883333333333326,1681.1833333333334
