air_quality_PM10,air_quality_us-epa-index,air_quality_Carbon_Monoxide,air_quality_PM2.5,temperature_celsius,humidity,humidity
163.7,4,3898.6,115.2,31.0,75,75
212.3,5,5714.4,150.8,30.0,79,79
51.4,2,1615.5,33.2,31.0,75,75
28.0,1,881.2,14.8,27.0,89,89
106.7,3,2910.6,65.0,30.0,84,84
46.9,2,1401.9,25.9,27.0,89,89
46.3,2,1428.6,26.1,30.0,75,75
42.2,2,1455.3,28.5,27.0,94,94
52.0,2,1615.5,31.7,30.0,75,75
31.0,2,1041.4,18.3,30.0,79,79
33.6,2,1014.7,18.4,26.0,84,84
57.4,2,1535.4,32.7,32.0,67,67
64.9,2,1842.5,38.4,30.0,66,66
57.9,2,1655.6,33.0,32.0,67,67
67.2,2,2269.8,39.9,27.0,94,94
57.0,2,1735.7,33.2,27.0,89,89
58.3,2,1842.5,35.3,30.0,75,75
58.8,2,1735.7,33.6,30.0,70,70
68.6,2,1522.1,33.2,31.0,63,63
79.9,2,1735.7,35.7,32.0,67,67
70.6,2,2029.4,40.2,32.0,56,56
52.8,2,1161.6,20.7,31.0,71,71
49.2,2,1108.2,19.3,31.2,66,66
19.8,1,507.4,6.6,31.4,63,63
45.3,2,1174.9,20.3,31.4,66,66
32.0,1,734.3,11.1,30.1,66,66
45.9,2,1014.7,17.7,29.3,75,75
58.2,2,1815.8,34.4,30.1,75,75
91.3,3,2269.8,44.2,32.1,67,67
76.1,2,1762.4,34.6,28.3,79,79
57.9,2,1709.0,32.7,32.2,57,57
39.6,2,1174.9,19.3,32.0,57,57
125.9,4,3631.6,82.8,28.2,70,70
41.0,2,1068.1,19.7,32.1,55,55
56.5,2,1522.1,29.9,31.7,56,56
42.8,2,1174.9,19.5,32.4,54,54
91.6,3,3418.0,61.7,30.3,75,75
42.9,2,1268.4,22.3,31.3,71,71
51.8,2,1762.4,30.8,32.4,56,56
25.5,1,854.5,13.2,27.7,74,74
57.0,2,2002.7,37.8,27.1,89,89
34.7,2,1094.8,20.5,30.4,75,75
41.6,2,1081.5,18.7,30.0,66,66
25.0,1,854.5,12.4,29.4,79,79
29.2,2,974.7,16.3,27.0,89,89
77.1,3,2616.9,48.6,31.1,63,63
60.0,2,1668.9,31.5,32.4,63,63
39.5,2,1148.2,19.7,30.1,75,75
48.2,2,1442.0,26.0,28.0,79,79
74.6,3,2910.6,44.2,29.1,79,79
64.7,2,1842.5,35.5,28.1,84,84
44.3,2,1255.0,23.5,31.3,66,66
81.5,3,2616.9,50.3,30.3,70,70
57.8,2,1735.7,30.7,30.3,79,79
54.4,2,1415.3,27.1,30.2,75,75
43.8,2,1562.1,23.8,25.4,100,100
59.8,2,1762.4,29.1,26.3,89,89
28.4,1,714.3,10.2,26.3,81,81
64.7,3,2483.4,40.9,30.4,70,70
61.3,2,1495.4,30.1,31.3,66,66
41.3,2,1054.8,16.2,29.1,66,66
38.1,2,1121.5,17.2,31.0,63,63
41.5,2,1695.6,22.7,29.1,79,79
38.9,2,1375.2,21.3,29.1,79,79
32.5,2,1094.8,16.5,29.2,79,79
43.1,2,1401.9,19.9,27.9,68,68
33.6,1,1041.4,15.4,26.7,76,76
35.8,2,1094.8,15.9,26.9,83,83
40.5,2,1081.5,15.9,26.7,84,84
30.9,2,1148.2,16.9,28.3,71,71
25.0,1,934.6,14.1,25.5,93,93
38.8,2,1401.9,22.1,25.6,88,88
32.4,2,1134.9,17.6,28.3,72,72
34.3,2,1241.7,19.9,28.9,71,71
61.1,2,2136.2,36.2,27.5,85,85
36.3,2,1081.5,16.5,29.3,70,70
28.4,1,948.0,14.5,26.0,92,92
70.1,3,2216.3,42.0,27.8,83,83
45.4,2,1241.7,22.1,27.8,83,83
70.7,3,2777.1,45.1,30.0,70,70
69.8,2,2243.0,39.5,30.3,69,69
